FAILAVG,METRIC,MXN,L4,M_STEP,M_PACKET,INTERFACES
0.0128351,152,9,UDP,30,1024,1
0.0279942,154,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.00953535,152,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.0110103,152,9,UDP,30,1024,1
0.0062345,151,9,UDP,30,1024,1
0.00200792,104,9,UDP,30,1024,1
0.484725,292,9,UDP,30,1024,1
0.0036092,151,9,UDP,30,1024,1
0.00445683,104,9,UDP,30,1024,1
0.383368,244,9,UDP,30,1024,1
0.597176,373,9,UDP,30,1024,1
0.040858,157,9,UDP,50,1024,1
0.0610146,160,9,UDP,50,1024,1
0.0458415,157,9,UDP,50,1024,1
0.0378835,156,9,UDP,50,1024,1
0.0472476,158,9,UDP,50,1024,1
0.372431,239,9,UDP,50,1024,1
0,150,9,UDP,50,1024,1
0.0384858,156,9,UDP,50,1024,1
0.402126,251,9,UDP,50,1024,1
0.0688289,161,9,UDP,50,1024,1
0.040858,157,9,UDP,50,1024,1
0.523892,316,9,UDP,50,1024,1
0.0610146,160,9,UDP,50,1024,1
0.0123406,152,9,UDP,50,1024,1
0.0458415,157,9,UDP,50,1024,1
0.0378835,156,9,UDP,50,1024,1
0.0472476,158,9,UDP,50,1024,1
0.372431,239,9,UDP,50,1024,1
0.760157,627,9,UDP,50,1024,1
0.0384858,156,9,UDP,50,1024,1
0,150,9,UDP,50,1024,1
0.402126,251,9,UDP,50,1024,1
0.281907,209,9,UDP,50,1024,1
0.262435,204,9,UDP,50,1024,1
0.117976,170,9,UDP,50,1024,1
0.743732,587,9,UDP,50,1024,1
0.0315176,155,9,UDP,50,1024,1
0.762055,632,9,UDP,50,1024,1
0.00642941,151,9,UDP,15,2048,1
0.0110716,152,9,UDP,15,2048,1
0.0397384,156,9,UDP,15,2048,1
0.0165703,153,9,UDP,15,2048,1
0.00308738,151,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00582025,151,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00611971,151,9,UDP,15,2048,1
0.00491567,151,9,UDP,15,2048,1
0.00543301,151,9,UDP,15,2048,1
9.16E-03,151,9,UDP,15,2048,1
0.00806109,151,9,UDP,15,2048,1
0.011949,152,9,UDP,15,2048,1
0.00637358,151,9,UDP,15,2048,1
0.0105793,152,9,UDP,15,2048,1
0.0166084,153,9,UDP,15,2048,1
0.0219952,153,9,UDP,15,2048,1
0.0248615,154,9,UDP,15,2048,1
0.0312335,155,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00651297,151,9,UDP,15,2048,1
0.0128725,152,9,UDP,15,2048,1
0.00988126,152,9,UDP,15,2048,1
0.0258247,154,9,UDP,15,2048,1
0.0261111,154,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00957738,152,9,UDP,15,2048,1
0.0100885,152,9,UDP,15,2048,1
0.0112356,152,9,UDP,15,2048,1
0.00885886,151,9,UDP,15,2048,1
0.0152658,152,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.000721479,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.0119795,152,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.000411331,150,9,UDP,15,2048,1
0.0188662,153,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.010718,152,9,UDP,15,2048,1
0.0110966,152,9,UDP,15,2048,1
0.0156425,152,9,UDP,15,2048,1
0.01897,153,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.000323895,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00511961,151,9,UDP,15,2048,1
0.0118906,152,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.000557189,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.0332844,155,9,UDP,15,2048,1
0.0120674,152,9,UDP,15,2048,1
0.0118193,152,9,UDP,15,2048,1
0.046425,157,9,UDP,15,2048,1
0.0218762,153,9,UDP,15,2048,1
0.0194717,153,9,UDP,15,2048,1
0.0326628,155,9,UDP,15,2048,1
0.0320335,155,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.000721479,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.000411331,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.0320335,155,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.01897,153,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00988126,152,9,UDP,15,2048,1
0.00642941,151,9,UDP,15,2048,1
0.0110716,152,9,UDP,15,2048,1
0.0397384,156,9,UDP,15,2048,1
0.0165703,153,9,UDP,15,2048,1
0.00308738,151,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00582025,151,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00611971,151,9,UDP,15,2048,1
0.00491567,151,9,UDP,15,2048,1
0.00543301,151,9,UDP,15,2048,1
0.00915775,151,9,UDP,15,2048,1
0.00806109,151,9,UDP,15,2048,1
0.011949,152,9,UDP,15,2048,1
0.00637358,151,9,UDP,15,2048,1
0.0105793,152,9,UDP,15,2048,1
0.0166084,153,9,UDP,15,2048,1
0.0219952,153,9,UDP,15,2048,1
0.0248615,154,9,UDP,15,2048,1
0.0312335,155,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00651297,151,9,UDP,15,2048,1
0.0128725,152,9,UDP,15,2048,1
0.00988126,152,9,UDP,15,2048,1
0.0258247,154,9,UDP,15,2048,1
0.0261111,154,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00957738,152,9,UDP,15,2048,1
0.0100885,152,9,UDP,15,2048,1
0.0112356,152,9,UDP,15,2048,1
0.00885886,151,9,UDP,15,2048,1
0.0152658,152,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.000721479,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.0119795,152,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.000411331,150,9,UDP,15,2048,1
0.0188662,153,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.010718,152,9,UDP,15,2048,1
0.0110966,152,9,UDP,15,2048,1
0.0156425,152,9,UDP,15,2048,1
0.01897,153,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.000323895,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00511961,151,9,UDP,15,2048,1
0.0118906,152,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.000557189,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.0332844,155,9,UDP,15,2048,1
0.0120674,152,9,UDP,15,2048,1
0.0118193,152,9,UDP,15,2048,1
0.046425,157,9,UDP,15,2048,1
0.0218762,153,9,UDP,15,2048,1
0.0194717,153,9,UDP,15,2048,1
0.0326628,155,9,UDP,15,2048,1
0.00644733,104,9,UDP,15,2048,1
0,150,9,UDP,15,2048,1
0.00642941,151,9,UDP,15,4096,1
0.0110716,152,9,UDP,15,4096,1
0.0397384,156,9,UDP,15,4096,1
0.0165703,153,9,UDP,15,4096,1
0.00308738,151,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.00582025,151,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.00611971,151,9,UDP,15,4096,1
0.00491567,151,9,UDP,15,4096,1
0.00543301,151,9,UDP,15,4096,1
0.00915775,151,9,UDP,15,4096,1
0.00806109,151,9,UDP,15,4096,1
0.011949,152,9,UDP,15,4096,1
0.00637358,151,9,UDP,15,4096,1
0.0105793,152,9,UDP,15,4096,1
0.0166084,153,9,UDP,15,4096,1
0.0219952,153,9,UDP,15,4096,1
0.0248615,154,9,UDP,15,4096,1
0.0312335,155,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.00651297,151,9,UDP,15,4096,1
0.0128725,152,9,UDP,15,4096,1
0.00988126,152,9,UDP,15,4096,1
0.0258247,154,9,UDP,15,4096,1
0.0261111,154,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.00957738,152,9,UDP,15,4096,1
0.0100885,152,9,UDP,15,4096,1
0.0112356,152,9,UDP,15,4096,1
0.00885886,151,9,UDP,15,4096,1
0.0152658,152,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.000721479,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.0119795,152,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.000411331,150,9,UDP,15,4096,1
0.0188662,153,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.010718,152,9,UDP,15,4096,1
0.0110966,152,9,UDP,15,4096,1
0.0156425,152,9,UDP,15,4096,1
0.01897,153,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.000323895,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.00511961,151,9,UDP,15,4096,1
0.0118906,152,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.000557189,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.0332844,155,9,UDP,15,4096,1
0.0120674,152,9,UDP,15,4096,1
0.0118193,152,9,UDP,15,4096,1
0.046425,157,9,UDP,15,4096,1
0.0218762,153,9,UDP,15,4096,1
0.0194717,153,9,UDP,15,4096,1
0.0326628,155,9,UDP,15,4096,1
0.0320335,155,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.000721479,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.000411331,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.0320335,155,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.00491567,151,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.00637358,151,9,UDP,15,4096,1
0.00642941,151,9,UDP,15,4096,1
0.0110716,152,9,UDP,15,4096,1
0.0397384,156,9,UDP,15,4096,1
0.0165703,153,9,UDP,15,4096,1
0.00308738,151,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.00491567,151,9,UDP,15,4096,1
0.00543301,151,9,UDP,15,4096,1
0.011949,152,9,UDP,15,4096,1
0.00167027,150,9,UDP,15,4096,1
0.00637358,151,9,UDP,15,4096,1
0.0105793,152,9,UDP,15,4096,1
0.0166084,153,9,UDP,15,4096,1
0.0219952,153,9,UDP,15,4096,1
0.0248615,154,9,UDP,15,4096,1
0.0312335,155,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.00651297,151,9,UDP,15,4096,1
0.0128725,152,9,UDP,15,4096,1
0.00988126,152,9,UDP,15,4096,1
0.0258247,154,9,UDP,15,4096,1
0.0261111,154,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.00957738,152,9,UDP,15,4096,1
0.0100885,152,9,UDP,15,4096,1
0.0112356,152,9,UDP,15,4096,1
0.00885886,151,9,UDP,15,4096,1
0.0152658,152,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.000721479,150,9,UDP,15,4096,1
0.0119795,152,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.000411331,150,9,UDP,15,4096,1
0.0188662,153,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.0110966,152,9,UDP,15,4096,1
0.0156425,152,9,UDP,15,4096,1
0.01897,153,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.000323895,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.0118906,152,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.000557189,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.0332844,155,9,UDP,15,4096,1
0.0118193,152,9,UDP,15,4096,1
0.046425,157,9,UDP,15,4096,1
0.0218762,153,9,UDP,15,4096,1
0.0194717,153,9,UDP,15,4096,1
0.0326628,155,9,UDP,15,4096,1
0.00753711,104,9,UDP,15,4096,1
0,150,9,UDP,15,4096,1
0.546865,332,9,UDP,15,4096,1
0.00642941,151,9,UDP,15,8192,1
0.0110716,152,9,UDP,15,8192,1
0.0397384,156,9,UDP,15,8192,1
0.0165703,153,9,UDP,15,8192,1
0.00308738,151,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.00582025,151,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.00611971,151,9,UDP,15,8192,1
0.00491567,151,9,UDP,15,8192,1
0.00543301,151,9,UDP,15,8192,1
0.00915775,151,9,UDP,15,8192,1
0.00806109,151,9,UDP,15,8192,1
0.011949,152,9,UDP,15,8192,1
0.00637358,151,9,UDP,15,8192,1
0.0105793,152,9,UDP,15,8192,1
0.0166084,153,9,UDP,15,8192,1
0.0219952,153,9,UDP,15,8192,1
0.0248615,154,9,UDP,15,8192,1
0.0312335,155,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.00651297,151,9,UDP,15,8192,1
0.0128725,152,9,UDP,15,8192,1
0.00988126,152,9,UDP,15,8192,1
0.0258247,154,9,UDP,15,8192,1
0.0261111,154,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.00957738,152,9,UDP,15,8192,1
0.0100885,152,9,UDP,15,8192,1
0.0112356,152,9,UDP,15,8192,1
0.00885886,151,9,UDP,15,8192,1
0.0152658,152,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.000721479,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.0119795,152,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.000411331,150,9,UDP,15,8192,1
0.0188662,153,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.010718,152,9,UDP,15,8192,1
0.0110966,152,9,UDP,15,8192,1
0.0156425,152,9,UDP,15,8192,1
0.01897,153,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.000323895,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.00511961,151,9,UDP,15,8192,1
0.0118906,152,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.000557189,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.0332844,155,9,UDP,15,8192,1
0.0120674,152,9,UDP,15,8192,1
0.0118193,152,9,UDP,15,8192,1
0.046425,157,9,UDP,15,8192,1
0.0218762,153,9,UDP,15,8192,1
0.0194717,153,9,UDP,15,8192,1
0.0326628,155,9,UDP,15,8192,1
0.0320335,155,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.000721479,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.000411331,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.0320335,155,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.0248615,154,9,UDP,15,8192,1
0.00988126,152,9,UDP,15,8192,1
0.00637358,151,9,UDP,15,8192,1
0.00957738,152,9,UDP,15,8192,1
0.00651297,151,9,UDP,15,8192,1
0.00642941,151,9,UDP,15,8192,1
0.0110716,152,9,UDP,15,8192,1
0.0397384,156,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.00582025,151,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.00491567,151,9,UDP,15,8192,1
0.00543301,151,9,UDP,15,8192,1
0.00915775,151,9,UDP,15,8192,1
0.00806109,151,9,UDP,15,8192,1
0.011949,152,9,UDP,15,8192,1
0.00637358,151,9,UDP,15,8192,1
0.0105793,152,9,UDP,15,8192,1
0.0166084,153,9,UDP,15,8192,1
0.0248615,154,9,UDP,15,8192,1
0.0312335,155,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.00651297,151,9,UDP,15,8192,1
0.0128725,152,9,UDP,15,8192,1
0.00988126,152,9,UDP,15,8192,1
0.0258247,154,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.00957738,152,9,UDP,15,8192,1
0.0100885,152,9,UDP,15,8192,1
0.00885886,151,9,UDP,15,8192,1
0.0152658,152,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.000721479,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.00513562,151,9,UDP,15,8192,1
0.010718,152,9,UDP,15,8192,1
0.0110966,152,9,UDP,15,8192,1
0.01897,153,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.000323895,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.0332844,155,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.0120674,152,9,UDP,15,8192,1
0.0118193,152,9,UDP,15,8192,1
0.046425,157,9,UDP,15,8192,1
0.0326628,155,9,UDP,15,8192,1
0.0098735,105,9,UDP,15,8192,1
0,150,9,UDP,15,8192,1
0.375407,241,9,UDP,15,8192,1
0.398963,250,9,UDP,15,8192,1
0.00139106,150,9,UDP,30,2048,1
0,150,9,UDP,30,2048,1
0.00305548,151,9,UDP,30,2048,1
0,150,9,UDP,30,2048,1
0,150,9,UDP,30,2048,1
0,150,9,UDP,30,2048,1
0,150,9,UDP,30,2048,1
0.00126988,150,9,UDP,30,2048,1
0.007444,151,9,UDP,30,2048,1
