FAILAVG,TXDURATION,METRIC,MXN,M_STEP,M_PACKET,INTERFACES,PDF,COMP,TX,TXX
0.00822207,1448,151,9,30,1024,1,0.99624,1.008290233,SI,1
0.0128351,1448,152,9,30,1024,1,0.99624,1.013001982,SI,1
0.0279942,1448,154,9,30,1024,1,0.99624,1.028800445,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.00953535,1448,152,9,30,1024,1,0.99624,1.009627148,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.0110103,1448,152,9,30,1024,1,0.99624,1.011132876,SI,1
0.0062345,1448,151,9,30,1024,1,0.99624,1.006273613,SI,1
0.00200792,972,104,9,30,1024,1,0.99624,1.00201196,SI,1
0.484725,1448,292,9,30,1024,1,0.99624,1.940711271,SI,1
0.0036092,1448,151,9,30,1024,1,0.99624,1.003622274,SI,1
0.00445683,972,104,9,30,1024,1,0.99624,1.004476782,SI,1
0.383368,1448,244,9,30,1024,1,0.99624,1.621712788,SI,1
0.597176,1448,373,9,30,1024,1,0.99624,2.482473735,SI,1
0.040858,1448,157,9,50,1024,1,0.00001,1.042598489,NO,0
0.0610146,1448,160,9,50,1024,1,0.00001,1.064979285,NO,0
0.0458415,1448,157,9,50,1024,1,0.00001,1.048043905,NO,0
0.0378835,1448,156,9,50,1024,1,0.00001,1.039375169,NO,0
0.0472476,1448,158,9,50,1024,1,0.00001,1.049590639,NO,0
0.372431,1448,239,9,50,1024,1,0.00001,1.593450282,NO,0
0,1448,150,9,50,1024,1,0.00001,1,NO,0
0.0384858,1448,156,9,50,1024,1,0.00001,1.040026242,NO,0
0.402126,1448,251,9,50,1024,1,0.00001,1.672593222,NO,0
0.0688289,1448,161,9,50,1024,1,0.00001,1.073916491,NO,0
0.040858,1448,157,9,50,1024,1,0.00001,1.042598489,NO,0
0.523892,1448,316,9,50,1024,1,0.00001,2.100363783,NO,0
0.0610146,1448,160,9,50,1024,1,0.00001,1.064979285,NO,0
0.0123406,1448,152,9,50,1024,1,0.00001,1.012494793,NO,0
0.0458415,1448,157,9,50,1024,1,0.00001,1.048043905,NO,0
0.0378835,1448,156,9,50,1024,1,0.00001,1.039375169,NO,0
